tconst,titleType,primaryTitle,year,runtimeMinutes,averageRating,numVotes,d1,dn1,d2,dn2,w1,wn1,w2,wn2,w3,wn3
tt0084375,tvMovie,Mysterious Two,1982,100,4.8,93,nm0792446,Gary Sherman,NA,NA,nm0792446,Gary Sherman,NA,NA,NA,NA
tt0084395,movie,Class Reunion,1982,84,4.8,1832,nm0588964,Michael Miller,NA,NA,nm0000455,John Hughes,NA,NA,NA,NA
tt0084408,movie,Next of Kin,1982,89,6.4,1354,nm0931838,Tony Williams,NA,NA,nm0372691,Michael Heath,nm0931838,Tony Williams,NA,NA
tt0084464,movie,Pandemonium,1982,82,5.4,902,nm0812874,Alfred Sole,NA,NA,nm0458794,Jaime Barton Klein,nm0926073,Richard Whitley,NA,NA
tt0084472,movie,Parasite,1982,85,3.8,1843,nm0023929,Charles Band,NA,NA,nm0012098,Alan J. Adler,nm0794848,Michael Shoob,nm0505350,Frank Levering
tt0084516,movie,Poltergeist,1982,114,7.3,131343,nm0001361,Tobe Hooper,NA,NA,nm0000229,Steven Spielberg,nm0334457,Michael Grais,nm0896131,Mark Victor
tt0084556,movie,Q,1982,93,6,5955,nm0169540,Larry Cohen,NA,NA,nm0169540,Larry Cohen,NA,NA,NA,NA
tt0084581,movie,Regreso del más allá,1982,\N,3.3,41,nm0692475,Juan José Porto,NA,NA,nm1529632,Enrique Force,nm0692475,Juan José Porto,nm0273511,Félix Fernández
tt0084586,movie,Human Lanterns,1982,95,6.6,556,nm0838936,Chung Sun,NA,NA,nm0393250,Kuang Ni,nm0838936,Chung Sun,NA,NA
tt0084587,movie,The Dead and the Deadly,1982,97,6.4,278,nm0943138,Wu Ma,NA,NA,nm0005033,Sammo Kam-Bo Hung,nm0938944,Barry Wong,NA,NA
tt0084636,movie,Klynham Summer,1982,88,5.5,159,nm0683578,Sam Pillsbury,NA,NA,nm0372691,Michael Heath,nm0606302,Ronald Hugh Morrieson,nm0683578,Sam Pillsbury
tt0084650,movie,The Secret of the Mummy,1982,85,5.1,205,nm0136642,Ivan Cardoso,NA,NA,nm0136642,Ivan Cardoso,nm0524521,Rubens Francisco Luchetti,nm1119967,Eduardo Viveiros
